category,base_text,perturbed_text,description,syllables_base,syllables_perturbed,tokens_base,tokens_perturbed,syllable_delta,token_delta,pair_id
subjunctive,Sie müssen Probleme dabei sofort melden.,Sie müssten Probleme dabei sofort melden.,Indikativ -> Konjunktiv II (müssten),14,14,6,6,0,0,1
subjunctive,Die Maßnahmen müssen Sie persönlich betreffen.,Die Maßnahmen müssten Sie persönlich betreffen.,Indikativ -> Konjunktiv II (müssten),15,15,6,6,0,0,2
subjunctive,Darum müssen Sie sich selbst kümmern.,Darum müssten Sie sich selbst kümmern.,Indikativ -> Konjunktiv II (müssten),10,10,6,6,0,0,3
subjunctive,Handwerker können Sachen reparieren.,Handwerker könnten Sachen reparieren.,Indikativ -> Konjunktiv II (könnten),12,12,4,4,0,0,4
subjunctive,Das bedeutet: Menschen dürfen bei den Sitzungen zusehen.,Das bedeutet: Menschen dürften bei den Sitzungen zusehen.,Indikativ -> Konjunktiv II (dürften),18,18,8,8,0,0,5
subjunctive,Neue Gesetze und Verordnungen für Schleswig-Holstein haben eine Fundstelle.,Neue Gesetze und Verordnungen für Schleswig-Holstein hätten eine Fundstelle.,Indikativ -> Konjunktiv II (hätten),25,25,10,10,0,0,6
subjunctive,Zum 24-Stunden-Ausgang können Sie die JVA zwischen 7.00 Uhr und 20.00 Uhr verlassen.,Zum 24-Stunden-Ausgang könnten Sie die JVA zwischen 7.00 Uhr und 20.00 Uhr verlassen.,Indikativ -> Konjunktiv II (könnten),21,21,17,17,0,0,7
subjunctive,Dann können Sie haftbar gemacht werden.,Dann könnten Sie haftbar gemacht werden.,Indikativ -> Konjunktiv II (könnten),11,11,6,6,0,0,8
subjunctive,Darum sollen Sie nur 5 Tage auf einmal nehmen.,Darum sollten Sie nur 5 Tage auf einmal nehmen.,Indikativ -> Konjunktiv II (sollten),16,16,9,9,0,0,9
subjunctive,Sie wollen ihre Zelle verlassen?,Sie wollten ihre Zelle verlassen?,Indikativ -> Konjunktiv II (wollten),11,11,5,5,0,0,10
subjunctive,Diese Sachen müssen Sie in einem Paket bekommen.,Diese Sachen müssten Sie in einem Paket bekommen.,Indikativ -> Konjunktiv II (müssten),18,18,8,8,0,0,11
subjunctive,Sie müssen dafür einen Antrag stellen.,Sie müssten dafür einen Antrag stellen.,Indikativ -> Konjunktiv II (müssten),13,13,6,6,0,0,12
subjunctive,Sie können die Geldstrafe nicht bald zahlen?,Sie könnten die Geldstrafe nicht bald zahlen?,Indikativ -> Konjunktiv II (könnten),13,13,7,7,0,0,13
subjunctive,Alle Menschen haben das Recht auf Bildung und Arbeit.,Alle Menschen hätten das Recht auf Bildung und Arbeit.,Indikativ -> Konjunktiv II (hätten),16,16,9,9,0,0,14
subjunctive,Sie wollen nicht rausgehen?,Sie wollten nicht rausgehen?,Indikativ -> Konjunktiv II (wollten),9,9,4,4,0,0,15
subjunctive,Dann müssen Sie ein extra Formular beim Personal abgeben.,Dann müssten Sie ein extra Formular beim Personal abgeben.,Indikativ -> Konjunktiv II (müssten),20,20,9,9,0,0,16
subjunctive,Dann müssen Sie vorher einen Antrag stellen.,Dann müssten Sie vorher einen Antrag stellen.,Indikativ -> Konjunktiv II (müssten),14,14,7,7,0,0,17
subjunctive,"Sobald sie davon wissen, gilt: Sie müssen sich sofort beim Personal im offenen Vollzug melden.","Sobald sie davon wissen, gilt: Sie müssten sich sofort beim Personal im offenen Vollzug melden.",Indikativ -> Konjunktiv II (müssten),29,29,15,15,0,0,18
subjunctive,Dazu müssen die Firmen früh Bescheid wissen.,Dazu müssten die Firmen früh Bescheid wissen.,Indikativ -> Konjunktiv II (müssten),14,14,7,7,0,0,19
subjunctive,Sie haben Ausgang oder Langzeit-Ausgang?,Sie hätten Ausgang oder Langzeit-Ausgang?,Indikativ -> Konjunktiv II (hätten),15,15,6,6,0,0,20
subjunctive,Es dürfen nur erlaubte Sachen im Paket sein.,Es dürften nur erlaubte Sachen im Paket sein.,Indikativ -> Konjunktiv II (dürften),15,15,8,8,0,0,21
subjunctive,Sie können höchstens 30 Tagen LZA im Vollstreckungs-Jahr bekommen.,Sie könnten höchstens 30 Tagen LZA im Vollstreckungs-Jahr bekommen.,Indikativ -> Konjunktiv II (könnten),17,17,10,10,0,0,22
subjunctive,Bei diesem Kaufmann können Sie Dinge kaufen.,Bei diesem Kaufmann könnten Sie Dinge kaufen.,Indikativ -> Konjunktiv II (könnten),17,17,7,7,0,0,23
subjunctive,Geschädigte können sagen: so fühle ich mich.,Geschädigte könnten sagen: so fühle ich mich.,Indikativ -> Konjunktiv II (könnten),13,13,7,7,0,0,24
subjunctive,Ausnahmen müssen Sie gut begründen.,Ausnahmen müssten Sie gut begründen.,Indikativ -> Konjunktiv II (müssten),12,12,5,5,0,0,25
subjunctive,Sie sollen entscheiden können zwischen: Leistung zur Teilhabe am Arbeitsleben.,Sie sollen entscheiden könnten zwischen: Leistung zur Teilhabe am Arbeitsleben.,Indikativ -> Konjunktiv II (könnten),26,26,10,10,0,0,26
subjunctive,Sie müssen diese Bedingungen erfüllen.,Sie müssten diese Bedingungen erfüllen.,Indikativ -> Konjunktiv II (müssten),14,14,5,5,0,0,27
subjunctive,"Sie können gegen Anordnungen, Verfügungen oder andere Maßnahmen zum Gericht gehen.","Sie könnten gegen Anordnungen, Verfügungen oder andere Maßnahmen zum Gericht gehen.",Indikativ -> Konjunktiv II (könnten),27,27,11,11,0,0,28
subjunctive,Brauchen Sie eine Betreuung für Ihre Kinder?,Bräuchten Sie eine Betreuung für Ihre Kinder?,Indikativ -> Konjunktiv II (bräuchten),17,17,7,7,0,0,29
subjunctive,Dafür können Sie sich bei uns melden.,Dafür könnten Sie sich bei uns melden.,Indikativ -> Konjunktiv II (könnten),12,12,7,7,0,0,30
subjunctive,Sie haben kein Geld?,Sie hätten kein Geld?,Indikativ -> Konjunktiv II (hätten),7,7,4,4,0,0,31
subjunctive,Mit allen anderen Themen müssen Sie warten.,Mit allen anderen Themen müssten Sie warten.,Indikativ -> Konjunktiv II (müssten),14,14,7,7,0,0,32
subjunctive,Sie können Sport-Kleidung bei uns ausleihen.,Sie könnten Sport-Kleidung bei uns ausleihen.,Indikativ -> Konjunktiv II (könnten),16,16,7,7,0,0,33
subjunctive,Und Sie haben vor dem Landtag in Kiel demonstriert.,Und Sie hätten vor dem Landtag in Kiel demonstriert.,Indikativ -> Konjunktiv II (hätten),16,16,9,9,0,0,34
