model,seed,epoch,train_loss,val_loss,val_bacc,lh_bacc,lh_auc,lh_ls_mean,lh_as_mean,lh_separation,lh_pair_match
art_256,42,11,0.08768413498483855,0.14323920011520386,0.9506172839506173,0.9189189189189189,0.9565376186997808,0.7782024175048227,0.0030043624318676775,0.775198055072955,0.972972972972973
art_256,123,12,0.04279102285488926,0.05671104680125912,0.9814814814814814,0.8783783783783784,0.9784514243973704,0.706260614836513,0.0034582511143526062,0.7028023637221604,0.972972972972973
art_256,456,27,0.04271433452658098,0.10891626255276303,0.9691358024691358,0.9189189189189189,0.9930606281957632,0.871877827908139,0.03329961690444081,0.8385782110036981,0.972972972972973
art_256,789,26,0.030525970561751003,0.26835791766643524,0.9382716049382716,0.7702702702702703,0.9506939371804237,0.5537641251308693,0.020259333277420875,0.5335047918534483,0.9459459459459459
art_256,1024,26,0.014343960335124927,0.142064860323444,0.962962962962963,0.8918918918918919,0.9572680788897006,0.7731322918277599,0.0019314455674100679,0.7712008462603498,0.9459459459459459
art_512,42,13,0.09807884307770894,0.12337035581003875,0.9629629629629629,0.8783783783783784,0.9510591672753835,0.7381317584202751,0.009605334147439665,0.7285264242728354,0.9459459459459459
art_512,123,27,0.10054873655839212,0.10747701426347096,0.962962962962963,0.7837837837837838,0.8787436084733382,0.5623646788299084,0.04085400785520874,0.5215106709746996,0.972972972972973
art_512,456,18,0.054815373640379,0.09181574545800686,0.9814814814814814,0.9324324324324325,0.9824689554419285,0.8349269755637726,0.020245594152633252,0.8146813814111393,0.972972972972973
art_512,789,26,0.02852168351668736,0.09651370501766603,0.9753086419753086,0.8648648648648649,0.9174579985390795,0.7235736234539906,0.02924174092574528,0.6943318825282453,0.972972972972973
art_512,1024,10,0.10700072521536515,0.082485987416779,0.9814814814814814,0.6891891891891893,0.9371804236669101,0.3925288382326127,0.003312066003500887,0.38921677222911183,0.9459459459459459
art_1024,42,21,0.02702211806197362,0.05445744562894106,0.9876543209876543,0.8108108108108107,0.9437545653761871,0.5987655167190914,0.004424538030840218,0.5943409786882512,0.9459459459459459
art_1024,123,8,0.20471599954983283,0.0754000407954057,0.9814814814814814,0.9189189189189189,0.9517896274653032,0.7845022751874214,0.08049522420844517,0.7040070509789763,0.9459459459459459
art_1024,456,21,0.02609980549534847,0.09114666872968276,0.9691358024691358,0.8378378378378379,0.9240321402483566,0.6749010447249414,0.023606992671621148,0.6512940520533202,0.9459459459459459
art_1024,789,24,0.019269103264628815,0.18608868144413768,0.962962962962963,0.9324324324324325,0.9598246895544192,0.8944939506063992,0.05815267433166275,0.8363412762747365,0.972972972972973
art_1024,1024,26,0.05049317906578553,0.11340911996861298,0.9753086419753086,0.8513513513513513,0.9868517165814463,0.6925823276837331,0.00879988065070073,0.6837824470330324,0.972972972972973
art_1024_tiny,42,30,0.19815154425029097,0.1675961228708426,0.9444444444444444,0.8378378378378378,0.9108838568298028,0.68000090480377,0.060542211109006185,0.6194586936947638,0.8918918918918919
art_1024_tiny,123,26,0.15522915857105418,0.20123108538488546,0.9259259259259258,0.9459459459459459,0.9561723886048211,0.7964160329869923,0.024783071935982316,0.77163296105101,0.9459459459459459
art_1024_tiny,456,30,0.18058992806693602,0.17756976435581842,0.9444444444444444,0.8648648648648649,0.9218407596785976,0.7104242846772477,0.0558775427461778,0.6545467419310699,0.918918918918919
art_1024_tiny,789,29,0.11994856223464012,0.1384944220383962,0.9691358024691358,0.9054054054054055,0.9437545653761871,0.7684720827618966,0.021601422293413733,0.7468706604684828,0.9459459459459459
art_1024_tiny,1024,29,0.2079831443983933,0.2703356196482976,0.9135802469135802,0.6486486486486487,0.9444850255661067,0.3832547987836438,0.029215161122281005,0.3540396376613628,0.972972972972973
art_1024_medium,42,29,0.13012729598016576,0.07615860582639773,0.9753086419753085,0.8243243243243243,0.8984660336011687,0.5834680858596757,0.05514991811375965,0.528318167745916,0.918918918918919
art_1024_medium,123,23,0.07986261637817169,0.07310965533057849,0.9814814814814814,0.9324324324324325,0.9744338933528124,0.850326172673974,0.02174810070121296,0.8285780719727611,0.972972972972973
art_1024_medium,456,11,0.27025595975333244,0.23392891387144724,0.9135802469135802,0.8378378378378379,0.8721694667640615,0.6315623280290212,0.09133977448013988,0.5402225535488814,0.9459459459459459
art_1024_medium,789,23,0.17455081885744786,0.37398850669463474,0.9135802469135803,0.8648648648648649,0.9335281227173118,0.6695383830952484,0.07863976225584142,0.5908986208394069,0.972972972972973
art_1024_medium,1024,30,0.10833612071542904,0.16112537682056427,0.9506172839506173,0.7162162162162162,0.8845872899926954,0.49459858434007353,0.041389923727291646,0.45320866061278187,0.972972972972973
sentence_model,42,13,0.1184540670538055,0.2990231509376768,0.9094207964551124,0.972972972972973,0.9992695398100803,0.7886938117719892,0.17169326941789675,0.6170005423540924,1.0
sentence_model,123,14,0.11335528680090128,0.31339513167415955,0.9019335442840406,0.972972972972973,0.9963476990504019,0.7807424758303274,0.17778441449012583,0.6029580613402016,1.0
sentence_model,456,7,0.1816212291962334,0.2535672130724115,0.9056160878355459,0.9594594594594594,0.9985390796201606,0.7990673842358016,0.19517221905336432,0.6038951651824372,1.0
sentence_model,789,9,0.1533808447527034,0.28509006401403775,0.9007659687985798,0.972972972972973,0.9992695398100804,0.7690193648300904,0.1637384929821073,0.6052808718479831,1.0
sentence_model,1024,11,0.13656623485431607,0.28017968299888796,0.900161224072521,0.9594594594594594,0.9992695398100803,0.8194628379294762,0.2121847610334382,0.607278076896038,1.0
mixup_1024,42,25,0.021303726912171035,0.03195319809310604,0.9567901234567902,0.7567567567567568,0.887509130752374,0.5519188615000677,0.049628836188448246,0.5022900253116195,0.918918918918919
mixup_1024,123,23,0.030265439420151686,0.03364859722205438,0.9382716049382716,0.7162162162162162,0.95836376917458,0.43809904959807927,0.029895061202271766,0.4082039883958075,0.972972972972973
mixup_1024,456,28,0.02780818178093639,0.03130303801056774,0.9567901234567902,0.7162162162162162,0.929145361577794,0.4843365842212193,0.0320726605855885,0.4522639236356308,0.972972972972973
mixup_1024,789,7,0.06865490367636085,0.08161506910497944,0.9444444444444444,0.7567567567567568,0.9072315558802047,0.5065046528706679,0.06447430777778798,0.44203034509288,0.918918918918919
mixup_1024,1024,25,0.018260579430779186,0.023040298935181152,0.9691358024691358,0.7432432432432432,0.8312636961285611,0.45377114221195664,0.013243449818342138,0.4405276923936145,0.8648648648648649
