source,sim_128_mean,sim_128_std,sim_256_mean,sim_256_std,sim_512_mean,sim_512_std,sim_1024_mean,sim_1024_std,sim_8192_mean,sim_8192_std,delta_8192_minus_128
apotheken,0.7039726175903495,0.14439916709503378,0.763674345281389,0.11002743263112333,0.8106929083275639,0.08149769182314173,0.8374546197504779,0.07109781542456886,0.8453187502287571,0.06820905448139193,0.14134613263840767
behindertenbeauftragter,0.8102165061108609,0.1063362600410592,0.8352612624777124,0.0714352686518979,0.8502359605850057,0.05883456368011065,0.8618840410354289,0.05952714202089647,0.8633306457641277,0.05965801940850271,0.05311413965326672
brandeins,0.6452578933615434,0.11549777567724269,0.6941321335340801,0.07421231547457653,0.7057524637172097,0.07479940905676591,0.7057524637172097,0.07479940905676591,0.7057524637172097,0.07479940905676591,0.0604945703556663
hamburg,0.704001115716022,0.10482550574765538,0.7627619932527128,0.08699716491638129,0.7955538487952688,0.08186648460107093,0.8119240701198578,0.07678142345927143,0.8177905575088833,0.07127511385923146,0.11378944179286132
hannover,0.6978991635317027,0.15045019061623263,0.757807543111402,0.11460505667149273,0.8033253895681958,0.08252902639040602,0.8223038645677788,0.07358892966481924,0.8272638975187789,0.07422976135232343,0.12936473398707626
koeln,0.7056514559647976,0.1335989755819815,0.7457174505942907,0.0912616803368745,0.7868457054480528,0.07144737715461245,0.8252166555478022,0.05081397613493564,0.8349567636465415,0.04848260928887131,0.12930530768174386
main_taunus,0.7799624850352606,0.125608517852128,0.824965175655153,0.09700868067395584,0.8387259857522117,0.09006152608378708,0.8396394037538104,0.08697151965979222,0.8392348951763577,0.08646391883925093,0.05927241014109719
mdr,0.7477671600640092,0.11737386343375258,0.8079761718506138,0.10483898248281746,0.8418824171911091,0.06413125807634286,0.8430679617407115,0.05854914458010274,0.8434638721213493,0.0579317442387286,0.0956967120573401
sozialpolitik,0.675712411220257,0.15848271591665086,0.7144667552067683,0.12564086807761873,0.7502675560804514,0.07998623522211129,0.7772817840942969,0.06357774277801909,0.781896004310021,0.06441727215326654,0.106183593089764
stuttgart,0.866709475857871,0.08970587340146319,0.8670832753181458,0.06852408838979131,0.8824961968830654,0.05752006863992352,0.8818688103130885,0.0540033824030429,0.841474175453186,0.11468763834984759,-0.025235300404684913
taz,0.5808391571044922,0.2179538108074468,0.6938050240278244,0.11605076441553754,0.7895890772342682,0.04784561721021956,0.8024837970733643,0.05068029731384438,0.8288099318742752,0.051036644842085026,0.24797077476978302
wiesbaden,0.760376116808723,0.10437952963546349,0.7773911234210519,0.10608765452443002,0.7864312038702124,0.09868811150378072,0.7859564826768988,0.09963583201517673,0.7869790143826428,0.10098388365494902,0.02660289757391987
