experiment_name,experiment_group,mixtures_per_pair,train_fraction,num_train_article_pairs,total_train_samples,num_val_pairs,num_test_pairs,max_seq_len,best_epoch,total_epochs_run,training_time_seconds,best_val_loss,test_mse,test_mae,test_r2,test_pearson_r,test_spearman_rho,test_binary_acc,model_save_path,history,lh_mean_as,lh_mean_ls,lh_delta,lh_pairwise_acc,lh_binary_acc,lh_auc,lh_mae
scale_mixtures_m2,mixtures_scaling,2,1.0,505,1010,64,64,1024,14,22,8.48,0.06111,0.06599,0.20144,0.15239,0.49974,0.51126,72.27,results/experiments/data_scaling/scale_mixtures_m2_model.pt,"{'train_loss': [0.08334904676303267, 0.07682620570994914, 0.07061301055364311, 0.06405081646516919, 0.05529390764422715, 0.045832118950784206, 0.04483676073141396, 0.042768306098878384, 0.042188938707113266, 0.03978294681292027, 0.040738513926044106, 0.03898023988585919, 0.03834362665656954, 0.03803204570431262, 0.03752098244149238, 0.03201737767085433, 0.03212537372019142, 0.03188950486946851, 0.03191303473431617, 0.030884045641869307, 0.03399482311215252, 0.03430972003843635], 'val_loss': [0.08240682296454907, 0.08020824827253818, 0.07902043480426073, 0.10682784486562014, 0.0873996326699853, 0.09685949254781008, 0.08445100411772728, 0.07995431628078223, 0.0761259526014328, 0.07735107559710741, 0.06743139084428548, 0.0869133561849594, 0.0812023188918829, 0.06111143324524164, 0.07560125272721052, 0.06703388132154942, 0.06292918752878904, 0.07686063796281814, 0.0695777173154056, 0.07026592139154672, 0.07812107671052218, 0.0893007716163993], 'val_mae': [0.24383575992942497, 0.23972280525886164, 0.23289649832113354, 0.2554553541569476, 0.2323930216527515, 0.24233916846969805, 0.22747928089047492, 0.22095015893391973, 0.21522473724726296, 0.21663714381684257, 0.2057566333136492, 0.22267504976880445, 0.21573721476415814, 0.19549984777513602, 0.2103004650136427, 0.19777974885473668, 0.19041669675898448, 0.2075130341498152, 0.1986647880385135, 0.19940495897717483, 0.21055828957287304, 0.22408957326952078]}",0.2358,0.5663,0.3305,83.78,82.43,85.14,0.3347
scale_mixtures_m5,mixtures_scaling,5,1.0,505,2525,64,64,1024,27,35,25.16,0.05511,0.0552,0.18061,0.29104,0.6548,0.64295,78.36,results/experiments/data_scaling/scale_mixtures_m5_model.pt,"{'train_loss': [0.08255442967638374, 0.06885453825816512, 0.054773636255413295, 0.05058465311303735, 0.04722645962610841, 0.046141443448141216, 0.04161281972192228, 0.03837928879074752, 0.03677704017609358, 0.036482218839228156, 0.041650397283956406, 0.04376682783477008, 0.036265107057988646, 0.03439526706933975, 0.03827245137654245, 0.03154210913926363, 0.02971349088475108, 0.03013419480994344, 0.026113898679614066, 0.02745490176603198, 0.030798302264884114, 0.02854517474770546, 0.028139790473505854, 0.028783398028463126, 0.029356896597892045, 0.02656729118898511, 0.025733161345124246, 0.025176582951098682, 0.0233305589761585, 0.024173284135758876, 0.023840264417231083, 0.025616713496856392, 0.028904287284240125, 0.0240695201093331, 0.02540202271193266], 'val_loss': [0.07963002063333988, 0.09782665595412254, 0.08133021406829358, 0.08608051221817732, 0.0726497683674097, 0.06681685466319323, 0.07277946751564741, 0.07391199599951506, 0.08031080141663552, 0.07595677059143782, 0.07604453228414058, 0.0659067852422595, 0.07569376584142447, 0.07725041024386883, 0.059441160317510365, 0.06001404393464327, 0.06863854974508285, 0.060019789077341554, 0.06112058833241463, 0.06172630973160267, 0.06594409737735987, 0.06111722607165575, 0.055348985642194745, 0.07205241769552231, 0.055586432199925186, 0.05708829406648874, 0.055106583330780265, 0.06673988681286573, 0.05965694459155202, 0.06208418495953083, 0.057657964434474705, 0.07970583029091358, 0.057077133748680356, 0.06380867157131434, 0.062269480992108585], 'val_mae': [0.2378898060745996, 0.25043637841990857, 0.2301398654566583, 0.23116955358236738, 0.21341185889723419, 0.2090785225660511, 0.20980232861584228, 0.2097423478273413, 0.21870447188084655, 0.21279026131196588, 0.21727916140480374, 0.19847241229545035, 0.21302258083123887, 0.21524136859625287, 0.18641538694319024, 0.18903242768246856, 0.19964441406009428, 0.1870776314066461, 0.18829755812002985, 0.18947750541083225, 0.19835671022992757, 0.19071256936986175, 0.17932869947217114, 0.2068992419004644, 0.18080008654906124, 0.18116994888805493, 0.1774354473058338, 0.194866845958677, 0.18460320097910882, 0.18857618045403796, 0.18314135270884435, 0.21555442933276936, 0.1820762931874924, 0.19168296893876685, 0.1941967773000215]}",0.1347,0.6222,0.4876,97.3,90.54,96.9,0.2562
scale_mixtures_m10,mixtures_scaling,10,1.0,505,5050,64,64,1024,5,13,16.65,0.05889,0.05773,0.18705,0.25854,0.5807,0.56676,73.91,results/experiments/data_scaling/scale_mixtures_m10_model.pt,"{'train_loss': [0.07767069113405445, 0.05706383113431025, 0.052210737184821804, 0.04687162031289897, 0.04279902789600288, 0.04109485053657731, 0.03456285086613667, 0.03233928275825102, 0.02905101793570609, 0.028734701768129686, 0.038054229196491124, 0.054504696515542045, 0.06265199745569049], 'val_loss': [0.06207654420286417, 0.06695772390812635, 0.07872709650546313, 0.06828577276319266, 0.05888540120795369, 0.06023366171866655, 0.07454357575625181, 0.06134867165237665, 0.06610684767365456, 0.0691067749634385, 0.06931749898940325, 0.07549285050481558, 0.07680787052959204], 'val_mae': [0.20791446753828496, 0.2022555047104106, 0.219063099716368, 0.20358186416378884, 0.18796968994829513, 0.18764312346283987, 0.20967985506104014, 0.18876210458511195, 0.19643135336627893, 0.20039890543666844, 0.21778237680955498, 0.2320274112145853, 0.21698427322517091]}",0.1469,0.5208,0.3738,97.3,85.14,96.31,0.3131
scale_mixtures_m20,mixtures_scaling,20,1.0,505,10100,64,64,1024,14,22,54.72,0.04179,0.04181,0.15794,0.46294,0.731,0.74095,81.41,results/experiments/data_scaling/scale_mixtures_m20_model.pt,"{'train_loss': [0.07078317647116093, 0.06794392154846765, 0.0685809861538531, 0.050008918099765536, 0.048851304204214976, 0.05223697588979444, 0.04593603430858141, 0.03992778001518189, 0.03523733883011568, 0.03476807847619057, 0.03722320361463707, 0.037819105530558506, 0.030581037266344965, 0.026130654636911953, 0.024553441589910397, 0.02361971981634822, 0.021389669591348758, 0.02097979581124986, 0.020201578028971635, 0.019932892055639737, 0.021258616507572086, 0.02015033005324157], 'val_loss': [0.08849062025547028, 0.06967208441346884, 0.06872198060154915, 0.05390274366363883, 0.07855760958045721, 0.06413810439407826, 0.06579848472028971, 0.06929968893527985, 0.05000526523217559, 0.06076106345281005, 0.0731024131178856, 0.07270996570587158, 0.05576723087579012, 0.04178617969155311, 0.05748114371672273, 0.04252420924603939, 0.04935571765527129, 0.04776709089055657, 0.044853477738797665, 0.04767416995018721, 0.0611670789308846, 0.052481583692133425], 'val_mae': [0.2467731732158427, 0.21391851437329024, 0.21275513082036923, 0.18139750828668183, 0.2236006108327274, 0.20206295858188242, 0.1993078030016477, 0.20724346982133285, 0.17814075494352438, 0.19362937627993232, 0.20757526511843025, 0.2063557132274582, 0.18133737473799555, 0.1542983597562852, 0.18309931698713627, 0.15760091627998918, 0.16747007100893824, 0.16416342767297465, 0.15962298962804197, 0.1650563478597178, 0.18854127265331044, 0.17335643165679357]}",0.142,0.6738,0.5318,97.3,93.24,99.6,0.2341
scale_mixtures_m40,mixtures_scaling,40,1.0,505,20200,64,64,1024,15,23,108.8,0.03005,0.02637,0.11506,0.66128,0.83192,0.84305,85.55,results/experiments/data_scaling/scale_mixtures_m40_model.pt,"{'train_loss': [0.06914682265465395, 0.055107342668726474, 0.06182457066930925, 0.03896588668274351, 0.026043941868068295, 0.020352547298645295, 0.01750318671553101, 0.016138421648618163, 0.015219419516764487, 0.014932306184244779, 0.01519334036267445, 0.012261538252034047, 0.010112981698063166, 0.00877300121886302, 0.012256135912818386, 0.009300556873808367, 0.008195045247933344, 0.007615024325602888, 0.007223588208921395, 0.007377992516760773, 0.0075774580008892605, 0.006777126540258951, 0.00615152686869702], 'val_loss': [0.08576650619506836, 0.061022079363465306, 0.06447395477443933, 0.05311245955526829, 0.04351097634062171, 0.04258809685707092, 0.04031823873519898, 0.0417171761393547, 0.03777631600387395, 0.0385113331489265, 0.041101839393377304, 0.033230896759778264, 0.03446123478934169, 0.03358757211826742, 0.030049297586083414, 0.030112709291279315, 0.03198669864796102, 0.03100860370323062, 0.030825920635834336, 0.03098858310841024, 0.03362408578395844, 0.03366491482593119, 0.03124540434218943], 'val_mae': [0.23327782752858184, 0.19541227340050682, 0.20918648413899063, 0.1775434571707592, 0.15794018311826222, 0.15297707153767987, 0.14839699831609324, 0.15004435551054485, 0.14169785113590477, 0.14307803117371803, 0.1483894006098126, 0.13011944435238548, 0.13052647291442554, 0.12840534210081386, 0.12267123309247836, 0.12117550336806744, 0.12588013512977342, 0.12313203185149177, 0.12252619375904032, 0.12306498415673559, 0.12963070574151062, 0.12981444853321591, 0.12247714954828552]}",0.1245,0.6918,0.5673,97.3,95.95,99.82,0.2163
scale_mixtures_m80,mixtures_scaling,80,1.0,505,40400,64,64,1024,23,31,293.8,0.02559,0.02075,0.09584,0.73354,0.87149,0.88164,87.58,results/experiments/data_scaling/scale_mixtures_m80_model.pt,"{'train_loss': [0.058179167629797246, 0.048598595043125595, 0.037198622525327754, 0.023293267942882508, 0.01808475483727606, 0.015109750458416588, 0.01346326176124283, 0.012282208861529685, 0.011610316744816926, 0.011146610560001735, 0.01233568632108737, 0.010036063796834714, 0.008703250383082894, 0.007599185347259398, 0.006637536678934777, 0.006052272163310878, 0.005528202554125551, 0.005232469588768657, 0.004938750556534557, 0.004831290819691023, 0.005672141327522695, 0.00516249997838978, 0.004550083301839112, 0.004123373037974845, 0.0037779411224757404, 0.0035196546641255056, 0.003337839155058565, 0.003124733478320126, 0.0030153885123075305, 0.0029928650680481443, 0.003506130687531402], 'val_loss': [0.06309304367750883, 0.05752321640029549, 0.050576552841812374, 0.036601288989186284, 0.038333728024736044, 0.03391916025429964, 0.03719380716793239, 0.036224171472713354, 0.03411866296082735, 0.03485854198224843, 0.03092764662578702, 0.030738381203263998, 0.031990627245977524, 0.0313496848102659, 0.030300315865315498, 0.02782989484257996, 0.03032517139799893, 0.02880313720088452, 0.028766822745092215, 0.029072184301912784, 0.026684586564078926, 0.028449010965414346, 0.025588845391757785, 0.025823788181878627, 0.028455817652866245, 0.026074327598325907, 0.025911704800091685, 0.026877904369030148, 0.026757286151405425, 0.026724398566875605, 0.02661117009120062], 'val_mae': [0.19913469451530547, 0.1924387541057513, 0.16887697121528616, 0.14251021055788443, 0.1398234177770064, 0.12931530226305768, 0.13687647091392136, 0.1330133922438108, 0.12873896171622617, 0.1306350315320742, 0.12051835682759701, 0.11944186624714348, 0.12158200532539923, 0.11976927131290722, 0.11678690578082751, 0.1111423045727861, 0.11506742791789293, 0.11177437557307712, 0.11113376305547717, 0.11179821336809255, 0.10637587274650287, 0.11100463207076246, 0.10253324628538393, 0.10158256451577471, 0.10829517811689585, 0.10176428206941637, 0.10063078074272198, 0.10259643551144108, 0.10217310770131008, 0.10186331881232036, 0.10149188976756704]}",0.0646,0.776,0.7114,97.3,97.3,99.96,0.1443
scale_mixtures_m160,mixtures_scaling,160,1.0,505,80800,64,64,1024,14,22,409.43,0.02466,0.01928,0.09137,0.75238,0.87846,0.88837,87.19,results/experiments/data_scaling/scale_mixtures_m160_model.pt,"{'train_loss': [0.0536924993850863, 0.021240284761910932, 0.014690626404150106, 0.009576802403921954, 0.006995097560194554, 0.005993665711805284, 0.005101938072097232, 0.004634072974815328, 0.004368290790063215, 0.004191934614536675, 0.005345998764014489, 0.004171740167932062, 0.0035671881601540335, 0.0031977696179265563, 0.002856690150909406, 0.002729755357683578, 0.002442235828947677, 0.0023341250436005176, 0.002199024294675582, 0.0022316447440542202, 0.003608825934906317, 0.002753335598565679], 'val_loss': [0.049782058037817475, 0.032564684841781856, 0.03571396516636014, 0.03396300533786416, 0.03081702229101211, 0.027551062777638434, 0.027022383152507247, 0.0269900884013623, 0.027243797108530997, 0.027599474624730648, 0.026794606563635172, 0.02607623431831598, 0.025466637616045774, 0.024657587287947536, 0.025084437266923488, 0.02855246518738568, 0.026004023989662527, 0.024965477536898106, 0.025843108247499913, 0.02525959141785279, 0.026761020254343747, 0.025855778355617077], 'val_mae': [0.183014966749397, 0.1306530639394623, 0.13377620941428175, 0.12857430472904524, 0.11926375806033321, 0.10914557913602038, 0.10636647789033304, 0.10639861888739688, 0.10719205047898868, 0.10852142750918574, 0.10632040407617752, 0.1043861719477718, 0.101765673816044, 0.0980206347820058, 0.09942159048077884, 0.1099280245940463, 0.10184037232429546, 0.09802367284282809, 0.10113250786926073, 0.0992379198269191, 0.10706143984752998, 0.100716495276356]}",0.0962,0.7777,0.6815,97.3,97.3,99.96,0.1593
scale_mixtures_m320,mixtures_scaling,320,1.0,505,161600,64,64,1024,12,20,741.39,0.0226,0.01939,0.08797,0.7509,0.88097,0.89424,88.05,results/experiments/data_scaling/scale_mixtures_m320_model.pt,"{'train_loss': [0.04220766264834616, 0.011276473963614737, 0.006153547963736081, 0.0069837168267568445, 0.0039060208165907478, 0.0031811018322022763, 0.00276399667840451, 0.002532701648283049, 0.002357814693662089, 0.0022755534577847338, 0.004107981756062127, 0.002614065922985757, 0.0030204375004764684, 0.002488990537683931, 0.0021916370962211623, 0.002024154114112774, 0.0018236525691031377, 0.0016859174163846096, 0.0016049632807907713, 0.0015643486726826222], 'val_loss': [0.035357657447457315, 0.029719184478744866, 0.028346693329513072, 0.025396970682777464, 0.02856548554264009, 0.026503322389908136, 0.024569309246726335, 0.023864388721995054, 0.025507101626135408, 0.024433225928805768, 0.02563169738277793, 0.02260479807155207, 0.023897747066803275, 0.023549885698594154, 0.025127976713702083, 0.02330293406266719, 0.024058819096535445, 0.02335108651313931, 0.023073227563872933, 0.0232567889848724], 'val_mae': [0.13840868880324705, 0.12042019145701488, 0.11460751080849149, 0.10402283871626423, 0.11325145254486416, 0.10591278037791199, 0.10007142206413847, 0.09773275396473764, 0.10362115640855336, 0.09982615951121261, 0.10556746932888927, 0.0936686045864917, 0.09869740953872679, 0.09679137370058015, 0.10049279079339613, 0.09510902799511314, 0.09810443278172443, 0.09504837894223783, 0.09419937328111701, 0.09469946653243824]}",0.0822,0.7825,0.7003,97.3,97.3,99.89,0.1498
scale_pairs_f010,pairs_scaling,20,0.1,50,1000,64,64,1024,14,22,8.3,0.06079,0.06458,0.20062,0.17049,0.5146,0.51439,71.56,results/experiments/data_scaling/scale_pairs_f010_model.pt,"{'train_loss': [0.08527077408507466, 0.07942619873210788, 0.07455164124257863, 0.0696299655828625, 0.06325315777212381, 0.0563510179053992, 0.049290188355371356, 0.04743119119666517, 0.042511112755164504, 0.044687285902909935, 0.0539774764329195, 0.050123787485063076, 0.05302199930883944, 0.044594878097996116, 0.04171652172226459, 0.03605247905943543, 0.03688574722036719, 0.03471612778957933, 0.035078434157185256, 0.03567817900329828, 0.036596564343199134, 0.03358144371304661], 'val_loss': [0.08234472759068012, 0.08127793185412883, 0.08042154498398305, 0.07992922626435757, 0.07616132777184248, 0.0796819532290101, 0.06225545182824135, 0.0926375100389123, 0.07050189413130284, 0.07800475750118493, 0.07224610280245543, 0.10362624451518058, 0.06355874426662922, 0.060792393051087856, 0.07177677880972624, 0.06960724368691444, 0.062354898825287816, 0.06849257908761501, 0.06986353881657123, 0.06756341531872749, 0.07408607471734285, 0.06161527093499899], 'val_mae': [0.24390799687062098, 0.241417241606905, 0.23833021223363177, 0.2330824871762161, 0.22008361553125724, 0.22211189720364927, 0.19872885626791686, 0.23740592740759894, 0.20848822959051178, 0.21805226509277417, 0.2178605477365636, 0.25152819461472975, 0.20649345803358302, 0.19437544625070585, 0.20843050284711354, 0.2042139514505834, 0.19414983390997803, 0.20063679243721708, 0.20275032136523805, 0.19968704440798318, 0.21443028175090148, 0.19282225774186373]}",0.2163,0.6051,0.3888,94.59,87.84,94.27,0.3056
scale_pairs_f025,pairs_scaling,20,0.25,126,2520,64,64,1024,2,10,7.4,0.06024,0.06255,0.19951,0.19655,0.48316,0.49718,69.14,results/experiments/data_scaling/scale_pairs_f025_model.pt,"{'train_loss': [0.08147623743861913, 0.0659712883643806, 0.0562216529622674, 0.05798035915941, 0.051549159735441205, 0.04524766830727458, 0.043174431659281254, 0.04085336341522634, 0.04141454747878015, 0.04062945181503892], 'val_loss': [0.07987252417951822, 0.06024053152650595, 0.06384820602834225, 0.0692473204806447, 0.07338962443172932, 0.06717515867203475, 0.06694249957799911, 0.0728324107825756, 0.07201809138059616, 0.06854723449796438], 'val_mae': [0.2379852368361753, 0.19821551866880327, 0.20110706577943346, 0.2144212934461393, 0.2085417359292478, 0.2008140492001985, 0.20075578231590044, 0.20927175237266055, 0.20916871155604894, 0.20373790235717024]}",0.2244,0.5558,0.3314,97.3,85.14,93.46,0.3343
scale_pairs_f050,pairs_scaling,20,0.5,252,5040,64,64,1024,44,52,68.8,0.03479,0.03661,0.14152,0.52971,0.76751,0.78165,81.25,results/experiments/data_scaling/scale_pairs_f050_model.pt,"{'train_loss': [0.07772417988958238, 0.05729068047072314, 0.06450047990000701, 0.05922825181786018, 0.046908970780764954, 0.044078872998869874, 0.04197759490130069, 0.037070462975320934, 0.036392930258489865, 0.03520955100561245, 0.046160912306248386, 0.040921680982920185, 0.036023834295853784, 0.037025270747798905, 0.031493875728566434, 0.03006929783975776, 0.02827996444664424, 0.031665781548223165, 0.02578765514625024, 0.02569946809377097, 0.05094454251229763, 0.033949433814121195, 0.03303150886881955, 0.03456363494543335, 0.03834435303660133, 0.028234375735061077, 0.0267202611541069, 0.025010921320394626, 0.02460521115343782, 0.024985948813301097, 0.024523014273447327, 0.029676794345620313, 0.02656646997113771, 0.023550099068427387, 0.026500481675980212, 0.030804835142025463, 0.035096731885701796, 0.027460455187136613, 0.024891192647569543, 0.024131756181581112, 0.02261850302685288, 0.020650845822654192, 0.017924296976173225, 0.015489469565262523, 0.015109486536040335, 0.014746233974170835, 0.014118667043556896, 0.01425704531536638, 0.013096850860533835, 0.013597044657585742, 0.014013901741915866, 0.014359271920085707], 'val_loss': [0.1188612375408411, 0.06980294194072485, 0.07600929234176874, 0.07208579760044813, 0.065348875336349, 0.06430154368281364, 0.06454717013984919, 0.06846550181508064, 0.06410622671246528, 0.058324518147856, 0.06413934621959924, 0.061539729963988064, 0.053188693895936015, 0.05422172322869301, 0.058585827425122264, 0.05495205745100975, 0.10371919721364975, 0.0517675144597888, 0.05672470945864916, 0.05064974222332239, 0.05146745312958956, 0.05791742708534002, 0.06331858001649379, 0.0585035152733326, 0.062852131575346, 0.04878620430827141, 0.04878284065052867, 0.047558794263750315, 0.0488059856928885, 0.048755699675530194, 0.04190484425053, 0.0433230746537447, 0.039539460092782974, 0.05048669064417481, 0.06410828093066812, 0.04185243211686611, 0.04179916633293033, 0.04019472543150186, 0.038948186114430426, 0.03870335249230265, 0.0362485677935183, 0.04000612134113908, 0.03657942218706012, 0.03478984967805445, 0.03567542526870966, 0.03799480223096907, 0.03831132389605045, 0.03593200170435011, 0.0390725280623883, 0.03724632221274078, 0.03679267968982458, 0.04327288311906159], 'val_mae': [0.27247039950270846, 0.20756100523103668, 0.23167859483328357, 0.21255244886669972, 0.20151829069181987, 0.2004130850004003, 0.1980676126182516, 0.19958984869699634, 0.19328539448724769, 0.18548405417641334, 0.19854879159065603, 0.19430185073688336, 0.1768936098069389, 0.1817826731228706, 0.18687279227124237, 0.1785309110313392, 0.24975881810350983, 0.17374241201723634, 0.18127244565803266, 0.17175541934957436, 0.1823870473930583, 0.18794785461905122, 0.19447533092861705, 0.19981359743214852, 0.19562903070291213, 0.17352110349856958, 0.16961005695447967, 0.16713215182353452, 0.16903613441209017, 0.1688526352383633, 0.15765235939579725, 0.15902825519842737, 0.1540469625626429, 0.17178527073519945, 0.19327448768708563, 0.15381579665518075, 0.15807210905877583, 0.15343826415883086, 0.1499370438843471, 0.14884052002853423, 0.1423384365025413, 0.14885182090038143, 0.13854677202580207, 0.1335331389313069, 0.13566882202103442, 0.1399935546778579, 0.14036237355721823, 0.13574396430740307, 0.1424212996596907, 0.13846255045318684, 0.13885118553698703, 0.15094111854668882]}",0.1438,0.6656,0.5218,97.3,91.89,99.45,0.2391
