=== Starting Decoder-Only PPO Training (Qwen 2.5 1.5B) ===
Sat Aug 29 11:21:25 UTC 2026
================================================================================
Starting Decoder-Only PPO Training at 20260829_112129
Base Model: Qwen/Qwen2.5-1.5B-Instruct
SFT Checkpoint: results/models/decoder_only/sft
Output Directory: results/models/decoder_only/ppo
KL Beta: 0.05 | Clip Eps: 0.2 | Style/Sem Weights: 0.5/0.5
================================================================================
Device: cuda
Loading Tokenizer...
Loading Base Causal LM from Qwen/Qwen2.5-1.5B-Instruct...
Loading standalone SFT model from results/models/decoder_only/sft...
Initializing LoRA adapters for PPO Policy...
Initializing Composite Reward Evaluator...
Loading Reward Model vocabulary from: data/vocabs/mixup_vocab.json
Loading BiLSTM Regressor weights from: results/models/bilstm_mixup_regression.pt
Loading SBERT model for semantic evaluation: jinaai/jina-embeddings-v2-base-de
Loading source prompts from: data/analysis/corpus_master.json
Loaded 801 valid source prompts for PPO training.
Beginning PPO Rollout & Update Loop...

--- Epoch 1/3 ---

Epoch 1:   0%|          | 0/200 [00:00<?, ?it/s]
Epoch 1:   0%|          | 0/200 [00:09<?, ?it/s, Rew=0.273, Style=0.433, Sem=0.113, KL=0.000]
Epoch 1:   0%|          | 1/200 [00:09<31:26,  9.48s/it, Rew=0.273, Style=0.433, Sem=0.113, KL=0.000]
Epoch 1:   0%|          | 1/200 [00:18<31:26,  9.48s/it, Rew=0.330, Style=0.585, Sem=0.075, KL=0.001]
Epoch 1:   1%|1         | 2/200 [00:18<30:40,  9.30s/it, Rew=0.330, Style=0.585, Sem=0.075, KL=0.001]
Epoch 1:   1%|1         | 2/200 [00:27<30:40,  9.30s/it, Rew=0.190, Style=0.319, Sem=0.062, KL=-0.002]
Epoch 1:   2%|1         | 3/200 [00:27<30:21,  9.25s/it, Rew=0.190, Style=0.319, Sem=0.062, KL=-0.002]
Epoch 1:   2%|1         | 3/200 [00:36<30:21,  9.25s/it, Rew=0.240, Style=0.411, Sem=0.068, KL=-0.001]
Epoch 1:   2%|2         | 4/200 [00:36<30:04,  9.20s/it, Rew=0.240, Style=0.411, Sem=0.068, KL=-0.001]
Epoch 1:   2%|2         | 4/200 [00:45<30:04,  9.20s/it, Rew=0.268, Style=0.487, Sem=0.049, KL=-0.001]
Epoch 1:   2%|2         | 5/200 [00:45<29:36,  9.11s/it, Rew=0.268, Style=0.487, Sem=0.049, KL=-0.001]
Epoch 1:   2%|2         | 5/200 [00:54<29:36,  9.11s/it, Rew=0.325, Style=0.604, Sem=0.046, KL=-0.001]
Epoch 1:   3%|3         | 6/200 [00:54<29:19,  9.07s/it, Rew=0.325, Style=0.604, Sem=0.046, KL=-0.001]
Epoch 1:   3%|3         | 6/200 [01:03<29:19,  9.07s/it, Rew=0.297, Style=0.534, Sem=0.060, KL=-0.002]
Epoch 1:   4%|3         | 7/200 [01:03<29:05,  9.04s/it, Rew=0.297, Style=0.534, Sem=0.060, KL=-0.002]
Epoch 1:   4%|3         | 7/200 [01:12<29:05,  9.04s/it, Rew=0.387, Style=0.722, Sem=0.052, KL=-0.004]
Epoch 1:   4%|4         | 8/200 [01:12<28:54,  9.03s/it, Rew=0.387, Style=0.722, Sem=0.052, KL=-0.004]
Epoch 1:   4%|4         | 8/200 [01:21<28:54,  9.03s/it, Rew=0.441, Style=0.757, Sem=0.126, KL=0.001] 
Epoch 1:   4%|4         | 9/200 [01:21<28:46,  9.04s/it, Rew=0.441, Style=0.757, Sem=0.126, KL=0.001]
Epoch 1:   4%|4         | 9/200 [01:30<28:46,  9.04s/it, Rew=0.374, Style=0.699, Sem=0.049, KL=-0.001]
Epoch 1:   5%|5         | 10/200 [01:30<28:32,  9.01s/it, Rew=0.374, Style=0.699, Sem=0.049, KL=-0.001]
Epoch 1:   5%|5         | 10/200 [01:40<28:32,  9.01s/it, Rew=0.354, Style=0.601, Sem=0.107, KL=-0.003]
Epoch 1:   6%|5         | 11/200 [01:40<28:31,  9.06s/it, Rew=0.354, Style=0.601, Sem=0.107, KL=-0.003]
Epoch 1:   6%|5         | 11/200 [01:49<28:31,  9.06s/it, Rew=0.343, Style=0.596, Sem=0.090, KL=-0.006]
Epoch 1:   6%|6         | 12/200 [01:49<28:23,  9.06s/it, Rew=0.343, Style=0.596, Sem=0.090, KL=-0.006]
Epoch 1:   6%|6         | 12/200 [01:58<28:23,  9.06s/it, Rew=0.456, Style=0.779, Sem=0.133, KL=-0.009]
Epoch 1:   6%|6         | 13/200 [01:58<28:11,  9.05s/it, Rew=0.456, Style=0.779, Sem=0.133, KL=-0.009]
Epoch 1:   6%|6         | 13/200 [02:07<28:11,  9.05s/it, Rew=0.225, Style=0.368, Sem=0.082, KL=-0.016]
Epoch 1:   7%|7         | 14/200 [02:07<28:05,  9.06s/it, Rew=0.225, Style=0.368, Sem=0.082, KL=-0.016]
Epoch 1:   7%|7         | 14/200 [02:16<28:05,  9.06s/it, Rew=0.247, Style=0.382, Sem=0.112, KL=-0.019]
Epoch 1:   8%|7         | 15/200 [02:16<27:49,  9.03s/it, Rew=0.247, Style=0.382, Sem=0.112, KL=-0.019]
Epoch 1:   8%|7         | 15/200 [02:25<27:49,  9.03s/it, Rew=0.288, Style=0.400, Sem=0.175, KL=0.023] 
Epoch 1:   8%|8         | 16/200 [02:25<27:46,  9.05s/it, Rew=0.288, Style=0.400, Sem=0.175, KL=0.023]
Epoch 1:   8%|8         | 16/200 [02:34<27:46,  9.05s/it, Rew=0.311, Style=0.511, Sem=0.111, KL=0.003]
Epoch 1:   8%|8         | 17/200 [02:34<27:36,  9.05s/it, Rew=0.311, Style=0.511, Sem=0.111, KL=0.003]
Epoch 1:   8%|8         | 17/200 [02:43<27:36,  9.05s/it, Rew=0.267, Style=0.398, Sem=0.136, KL=0.037]
Epoch 1:   9%|9         | 18/200 [02:43<27:23,  9.03s/it, Rew=0.267, Style=0.398, Sem=0.136, KL=0.037]
Epoch 1:   9%|9         | 18/200 [02:52<27:23,  9.03s/it, Rew=0.271, Style=0.432, Sem=0.110, KL=-0.003]
Epoch 1:  10%|9         | 19/200 [02:52<27:21,  9.07s/it, Rew=0.271, Style=0.432, Sem=0.110, KL=-0.003]
Epoch 1:  10%|9         | 19/200 [03:01<27:21,  9.07s/it, Rew=0.246, Style=0.456, Sem=0.037, KL=0.021] 
Epoch 1:  10%|#         | 20/200 [03:01<27:12,  9.07s/it, Rew=0.246, Style=0.456, Sem=0.037, KL=0.021]
Epoch 1:  10%|#         | 20/200 [03:10<27:12,  9.07s/it, Rew=0.099, Style=0.167, Sem=0.032, KL=0.029]
Epoch 1:  10%|#         | 21/200 [03:10<27:02,  9.07s/it, Rew=0.099, Style=0.167, Sem=0.032, KL=0.029]
Epoch 1:  10%|#         | 21/200 [03:19<27:02,  9.07s/it, Rew=0.264, Style=0.376, Sem=0.151, KL=-0.051]
Epoch 1:  11%|#1        | 22/200 [03:19<26:50,  9.05s/it, Rew=0.264, Style=0.376, Sem=0.151, KL=-0.051]
Epoch 1:  11%|#1        | 22/200 [03:28<26:50,  9.05s/it, Rew=0.167, Style=0.235, Sem=0.099, KL=0.071] 
Epoch 1:  12%|#1        | 23/200 [03:28<26:39,  9.04s/it, Rew=0.167, Style=0.235, Sem=0.099, KL=0.071]
Epoch 1:  12%|#1        | 23/200 [03:37<26:39,  9.04s/it, Rew=0.141, Style=0.221, Sem=0.060, KL=-0.042]
Epoch 1:  12%|#2        | 24/200 [03:37<26:33,  9.06s/it, Rew=0.141, Style=0.221, Sem=0.060, KL=-0.042]
Epoch 1:  12%|#2        | 24/200 [03:46<26:33,  9.06s/it, Rew=0.123, Style=0.180, Sem=0.066, KL=-0.006]
Epoch 1:  12%|#2        | 25/200 [03:46<26:28,  9.08s/it, Rew=0.123, Style=0.180, Sem=0.066, KL=-0.006]
Epoch 1:  12%|#2        | 25/200 [03:55<26:28,  9.08s/it, Rew=0.123, Style=0.141, Sem=0.104, KL=-0.000]
Epoch 1:  13%|#3        | 26/200 [03:55<26:18,  9.07s/it, Rew=0.123, Style=0.141, Sem=0.104, KL=-0.000]
Epoch 1:  13%|#3        | 26/200 [04:04<26:18,  9.07s/it, Rew=0.167, Style=0.249, Sem=0.085, KL=-0.098]
Epoch 1:  14%|#3        | 27/200 [04:04<26:08,  9.07s/it, Rew=0.167, Style=0.249, Sem=0.085, KL=-0.098]
Epoch 1:  14%|#3        | 27/200 [04:13<26:08,  9.07s/it, Rew=0.090, Style=0.069, Sem=0.111, KL=-0.111]
