=== Starting Seq2Seq PPO Training (mBART-50) ===
Sat Aug 29 11:41:28 UTC 2026
================================================================================
Starting Seq2Seq (mBART-50) PPO Training at 20260829_114132
Base Model: facebook/mbart-large-50
SFT Checkpoint: results/models/sft
Output Directory: results/models/ppo/seq2seq
KL Beta: 0.05 | Clip Eps: 0.2 | Style/Sem Weights: 0.5/0.5
================================================================================
Device: cuda
Loading Tokenizer...
Loading Base Seq2Seq LM from facebook/mbart-large-50...
Loading and merging SFT LoRA adapter from results/models/sft...
[ERFOLG] SFT-Adapter erfolgreich in Basisgewichte integriert!
Initializing LoRA adapters for Seq2Seq PPO Policy...
Initializing Composite Reward Evaluator...
Loading Reward Model vocabulary from: data/vocabs/mixup_vocab.json
Loading BiLSTM Regressor weights from: results/models/bilstm_mixup_regression.pt
Loading SBERT model for semantic evaluation: jinaai/jina-embeddings-v2-base-de
Loading source prompts from: data/analysis/corpus_master.json
Loaded 801 valid source prompts for Seq2Seq PPO training.

--- Epoch 1/3 ---

Epoch 1:   0%|          | 0/200 [00:00<?, ?it/s]
Epoch 1:   0%|          | 0/200 [00:05<?, ?it/s, Rew=0.741, Style=0.750, Sem=0.732, KL=0.000]
Epoch 1:   0%|          | 1/200 [00:05<16:48,  5.07s/it, Rew=0.741, Style=0.750, Sem=0.732, KL=0.000]
Epoch 1:   0%|          | 1/200 [00:09<16:48,  5.07s/it, Rew=0.710, Style=0.628, Sem=0.791, KL=-0.002]
Epoch 1:   1%|1         | 2/200 [00:09<15:59,  4.85s/it, Rew=0.710, Style=0.628, Sem=0.791, KL=-0.002]
Epoch 1:   1%|1         | 2/200 [00:14<15:59,  4.85s/it, Rew=0.559, Style=0.357, Sem=0.762, KL=-0.002]
Epoch 1:   2%|1         | 3/200 [00:14<15:37,  4.76s/it, Rew=0.559, Style=0.357, Sem=0.762, KL=-0.002]
Epoch 1:   2%|1         | 3/200 [00:19<15:37,  4.76s/it, Rew=0.810, Style=0.875, Sem=0.746, KL=0.002] 
Epoch 1:   2%|2         | 4/200 [00:19<15:27,  4.73s/it, Rew=0.810, Style=0.875, Sem=0.746, KL=0.002]
Epoch 1:   2%|2         | 4/200 [00:23<15:27,  4.73s/it, Rew=0.623, Style=0.589, Sem=0.658, KL=0.007]
Epoch 1:   2%|2         | 5/200 [00:23<15:12,  4.68s/it, Rew=0.623, Style=0.589, Sem=0.658, KL=0.007]
Epoch 1:   2%|2         | 5/200 [00:28<15:12,  4.68s/it, Rew=0.650, Style=0.462, Sem=0.838, KL=0.000]
Epoch 1:   3%|3         | 6/200 [00:28<15:10,  4.69s/it, Rew=0.650, Style=0.462, Sem=0.838, KL=0.000]
Epoch 1:   3%|3         | 6/200 [00:32<15:10,  4.69s/it, Rew=0.547, Style=0.324, Sem=0.771, KL=-0.003]
Epoch 1:   4%|3         | 7/200 [00:32<14:58,  4.66s/it, Rew=0.547, Style=0.324, Sem=0.771, KL=-0.003]
Epoch 1:   4%|3         | 7/200 [00:37<14:58,  4.66s/it, Rew=0.703, Style=0.691, Sem=0.715, KL=0.000] 
Epoch 1:   4%|4         | 8/200 [00:37<14:56,  4.67s/it, Rew=0.703, Style=0.691, Sem=0.715, KL=0.000]
Epoch 1:   4%|4         | 8/200 [00:42<14:56,  4.67s/it, Rew=0.530, Style=0.352, Sem=0.708, KL=0.091]
Epoch 1:   4%|4         | 9/200 [00:42<14:45,  4.63s/it, Rew=0.530, Style=0.352, Sem=0.708, KL=0.091]
Epoch 1:   4%|4         | 9/200 [00:47<14:45,  4.63s/it, Rew=0.751, Style=0.711, Sem=0.790, KL=-0.001]
Epoch 1:   5%|5         | 10/200 [00:47<14:48,  4.68s/it, Rew=0.751, Style=0.711, Sem=0.790, KL=-0.001]
Epoch 1:   5%|5         | 10/200 [00:51<14:48,  4.68s/it, Rew=0.669, Style=0.755, Sem=0.583, KL=0.005] 
Epoch 1:   6%|5         | 11/200 [00:51<14:36,  4.64s/it, Rew=0.669, Style=0.755, Sem=0.583, KL=0.005]
Epoch 1:   6%|5         | 11/200 [00:56<14:36,  4.64s/it, Rew=0.717, Style=0.630, Sem=0.803, KL=-0.000]
Epoch 1:   6%|6         | 12/200 [00:56<14:39,  4.68s/it, Rew=0.717, Style=0.630, Sem=0.803, KL=-0.000]
Epoch 1:   6%|6         | 12/200 [01:00<14:39,  4.68s/it, Rew=0.520, Style=0.546, Sem=0.494, KL=-0.002]
Epoch 1:   6%|6         | 13/200 [01:00<14:22,  4.61s/it, Rew=0.520, Style=0.546, Sem=0.494, KL=-0.002]
Epoch 1:   6%|6         | 13/200 [01:05<14:22,  4.61s/it, Rew=0.596, Style=0.460, Sem=0.733, KL=-0.005]
Epoch 1:   7%|7         | 14/200 [01:05<14:25,  4.65s/it, Rew=0.596, Style=0.460, Sem=0.733, KL=-0.005]
Epoch 1:   7%|7         | 14/200 [01:10<14:25,  4.65s/it, Rew=0.790, Style=0.894, Sem=0.686, KL=-0.002]
Epoch 1:   8%|7         | 15/200 [01:10<14:11,  4.61s/it, Rew=0.790, Style=0.894, Sem=0.686, KL=-0.002]
Epoch 1:   8%|7         | 15/200 [01:14<14:11,  4.61s/it, Rew=0.580, Style=0.428, Sem=0.731, KL=-0.000]
Epoch 1:   8%|8         | 16/200 [01:14<14:19,  4.67s/it, Rew=0.580, Style=0.428, Sem=0.731, KL=-0.000]
Epoch 1:   8%|8         | 16/200 [01:19<14:19,  4.67s/it, Rew=0.666, Style=0.608, Sem=0.725, KL=-0.001]
Epoch 1:   8%|8         | 17/200 [01:19<14:04,  4.62s/it, Rew=0.666, Style=0.608, Sem=0.725, KL=-0.001]
Epoch 1:   8%|8         | 17/200 [01:24<14:04,  4.62s/it, Rew=0.757, Style=0.989, Sem=0.526, KL=-0.004]
Epoch 1:   9%|9         | 18/200 [01:24<14:08,  4.66s/it, Rew=0.757, Style=0.989, Sem=0.526, KL=-0.004]
Epoch 1:   9%|9         | 18/200 [01:28<14:08,  4.66s/it, Rew=0.750, Style=0.784, Sem=0.716, KL=-0.002]
Epoch 1:  10%|9         | 19/200 [01:28<13:55,  4.62s/it, Rew=0.750, Style=0.784, Sem=0.716, KL=-0.002]
Epoch 1:  10%|9         | 19/200 [01:33<13:55,  4.62s/it, Rew=0.662, Style=0.495, Sem=0.829, KL=0.005] 
Epoch 1:  10%|#         | 20/200 [01:33<13:54,  4.64s/it, Rew=0.662, Style=0.495, Sem=0.829, KL=0.005]
Epoch 1:  10%|#         | 20/200 [01:37<13:54,  4.64s/it, Rew=0.697, Style=0.712, Sem=0.682, KL=-0.018]
Epoch 1:  10%|#         | 21/200 [01:37<13:44,  4.61s/it, Rew=0.697, Style=0.712, Sem=0.682, KL=-0.018]
Epoch 1:  10%|#         | 21/200 [01:42<13:44,  4.61s/it, Rew=0.673, Style=0.514, Sem=0.832, KL=-0.001]
Epoch 1:  11%|#1        | 22/200 [01:42<13:47,  4.65s/it, Rew=0.673, Style=0.514, Sem=0.832, KL=-0.001]
Epoch 1:  11%|#1        | 22/200 [01:47<13:47,  4.65s/it, Rew=0.623, Style=0.503, Sem=0.742, KL=-0.006]
Epoch 1:  12%|#1        | 23/200 [01:47<13:38,  4.63s/it, Rew=0.623, Style=0.503, Sem=0.742, KL=-0.006]
Epoch 1:  12%|#1        | 23/200 [01:51<13:38,  4.63s/it, Rew=0.602, Style=0.454, Sem=0.751, KL=0.009] 
Epoch 1:  12%|#2        | 24/200 [01:51<13:38,  4.65s/it, Rew=0.602, Style=0.454, Sem=0.751, KL=0.009]
Epoch 1:  12%|#2        | 24/200 [01:56<13:38,  4.65s/it, Rew=0.610, Style=0.382, Sem=0.838, KL=0.013]
Epoch 1:  12%|#2        | 25/200 [01:56<13:31,  4.64s/it, Rew=0.610, Style=0.382, Sem=0.838, KL=0.013]
Epoch 1:  12%|#2        | 25/200 [02:01<13:31,  4.64s/it, Rew=0.658, Style=0.590, Sem=0.726, KL=-0.015]
Epoch 1:  13%|#3        | 26/200 [02:01<13:30,  4.66s/it, Rew=0.658, Style=0.590, Sem=0.726, KL=-0.015]
Epoch 1:  13%|#3        | 26/200 [02:05<13:30,  4.66s/it, Rew=0.592, Style=0.333, Sem=0.851, KL=0.024] 
Epoch 1:  14%|#3        | 27/200 [02:05<12:59,  4.51s/it, Rew=0.592, Style=0.333, Sem=0.851, KL=0.024]
Epoch 1:  14%|#3        | 27/200 [02:10<12:59,  4.51s/it, Rew=0.585, Style=0.342, Sem=0.829, KL=0.032]
