Globaler Seed auf 42 gesetzt.
Log file initialized at: results/logs/experiments/synthetic_regressor/train_dpo_20260830_115448.log
Aktuelles Arbeitsverzeichnis: /home/fisc4884/master-thesis
Nutze Device: cuda
Lade Basis-SFT-Modell und Tokenizer aus: results/models/experiments/synthetic_regressor/sft...
================================================================================
[SPRACHCODE-KONTROLLE] Tokenizer für mBART erfolgreich konfiguriert:
  -> src_lang: de_DE
  -> tgt_lang: de_DE
  -> de_DE Token-ID: 250003
  -> Test-Target Enkodierung (Token IDs): [250003, 8647, 2]
================================================================================
Lade Basismodell 'facebook/mbart-large-50' fuer SFT-Adapter...
Lade und verschmelze (merge_and_unload) SFT-LoRA-Adapter aus: results/models/experiments/synthetic_regressor/sft...
[ERFOLG] SFT-Adapter erfolgreich in Basisgewichte integriert (SFT ist nun die Basis fuer DPO)!
Konfiguriere DPO-LoRA auf Basis des SFT-Modells (r=16, alpha=32, dropout=0.05, targets=['q_proj', 'v_proj', 'k_proj', 'out_proj', 'fc1', 'fc2'])...
trainable params: 8,650,752 || all params: 619,530,240 || trainable%: 1.3963
Lade DPO-Präferenzdatensatz aus: data/dpo/dpo_preference_pairs_synthetic.jsonl
Erfolgreich geladen: 7795 Präferenz-Paare.
Lade DPO-Präferenzdatensatz aus: data/dpo/dpo_preference_pairs_synthetic_eval.jsonl
Erfolgreich geladen: 1376 Präferenz-Paare.
Validierungsset initialisiert: 1376 Paare (1376 Batches).

================================================================================
=== Starte DPO Training (3 Epochen | Beta=0.1 | LR=5e-06) ===
================================================================================


DPO Epoche 1/3:   0%|          | 0/7795 [00:00<?, ?it/s]
DPO Epoche 1/3:   0%|          | 0/7795 [00:00<?, ?it/s, Loss=0.0272, Acc=1.00, Margin=3.591]
DPO Epoche 1/3:   0%|          | 1/7795 [00:00<1:05:39,  1.98it/s, Loss=0.0272, Acc=1.00, Margin=3.591]
DPO Epoche 1/3:   0%|          | 1/7795 [00:00<1:05:39,  1.98it/s, Loss=0.3168, Acc=1.00, Margin=0.987]
DPO Epoche 1/3:   0%|          | 2/7795 [00:00<58:27,  2.22it/s, Loss=0.3168, Acc=1.00, Margin=0.987]  
DPO Epoche 1/3:   0%|          | 2/7795 [00:01<58:27,  2.22it/s, Loss=0.7928, Acc=0.00, Margin=-0.190]
DPO Epoche 1/3:   0%|          | 3/7795 [00:01<56:08,  2.31it/s, Loss=0.7928, Acc=0.00, Margin=-0.190]
DPO Epoche 1/3:   0%|          | 3/7795 [00:01<56:08,  2.31it/s, Loss=0.7791, Acc=0.00, Margin=-0.165]
DPO Epoche 1/3:   0%|          | 4/7795 [00:01<55:07,  2.36it/s, Loss=0.7791, Acc=0.00, Margin=-0.165]
DPO Epoche 1/3:   0%|          | 4/7795 [00:02<55:07,  2.36it/s, Loss=0.3090, Acc=1.00, Margin=1.016] 
DPO Epoche 1/3:   0%|          | 5/7795 [00:02<54:28,  2.38it/s, Loss=0.3090, Acc=1.00, Margin=1.016]
DPO Epoche 1/3:   0%|          | 5/7795 [00:02<54:28,  2.38it/s, Loss=0.3323, Acc=1.00, Margin=0.931]
DPO Epoche 1/3:   0%|          | 6/7795 [00:02<53:48,  2.41it/s, Loss=0.3323, Acc=1.00, Margin=0.931]
DPO Epoche 1/3:   0%|          | 6/7795 [00:02<53:48,  2.41it/s, Loss=0.3014, Acc=1.00, Margin=1.045]
DPO Epoche 1/3:   0%|          | 7/7795 [00:02<52:13,  2.49it/s, Loss=0.3014, Acc=1.00, Margin=1.045]
DPO Epoche 1/3:   0%|          | 7/7795 [00:03<52:13,  2.49it/s, Loss=0.5876, Acc=1.00, Margin=0.224]
DPO Epoche 1/3:   0%|          | 8/7795 [00:03<51:51,  2.50it/s, Loss=0.5876, Acc=1.00, Margin=0.224]
DPO Epoche 1/3:   0%|          | 8/7795 [00:03<51:51,  2.50it/s, Loss=2.7584, Acc=0.00, Margin=-2.693]
DPO Epoche 1/3:   0%|          | 9/7795 [00:03<51:44,  2.51it/s, Loss=2.7584, Acc=0.00, Margin=-2.693]
DPO Epoche 1/3:   0%|          | 9/7795 [00:04<51:44,  2.51it/s, Loss=1.0281, Acc=0.00, Margin=-0.585]
DPO Epoche 1/3:   0%|          | 10/7795 [00:04<51:38,  2.51it/s, Loss=1.0281, Acc=0.00, Margin=-0.585]
DPO Epoche 1/3:   0%|          | 10/7795 [00:04<51:38,  2.51it/s, Loss=1.7478, Acc=0.00, Margin=-1.556]
DPO Epoche 1/3:   0%|          | 11/7795 [00:04<51:35,  2.51it/s, Loss=1.7478, Acc=0.00, Margin=-1.556]
DPO Epoche 1/3:   0%|          | 11/7795 [00:04<51:35,  2.51it/s, Loss=1.5840, Acc=0.00, Margin=-1.354]
DPO Epoche 1/3:   0%|          | 12/7795 [00:04<50:39,  2.56it/s, Loss=1.5840, Acc=0.00, Margin=-1.354]
DPO Epoche 1/3:   0%|          | 12/7795 [00:05<50:39,  2.56it/s, Loss=1.3328, Acc=0.00, Margin=-1.027]
DPO Epoche 1/3:   0%|          | 13/7795 [00:05<50:46,  2.55it/s, Loss=1.3328, Acc=0.00, Margin=-1.027]
DPO Epoche 1/3:   0%|          | 13/7795 [00:05<50:46,  2.55it/s, Loss=1.2213, Acc=0.00, Margin=-0.872]
DPO Epoche 1/3:   0%|          | 14/7795 [00:05<50:57,  2.54it/s, Loss=1.2213, Acc=0.00, Margin=-0.872]
DPO Epoche 1/3:   0%|          | 14/7795 [00:06<50:57,  2.54it/s, Loss=0.2652, Acc=1.00, Margin=1.192] 
DPO Epoche 1/3:   0%|          | 15/7795 [00:06<51:05,  2.54it/s, Loss=0.2652, Acc=1.00, Margin=1.192]
DPO Epoche 1/3:   0%|          | 15/7795 [00:06<51:05,  2.54it/s, Loss=0.1551, Acc=1.00, Margin=1.785]
DPO Epoche 1/3:   0%|          | 16/7795 [00:06<55:06,  2.35it/s, Loss=0.1551, Acc=1.00, Margin=1.785]
DPO Epoche 1/3:   0%|          | 16/7795 [00:06<55:06,  2.35it/s, Loss=0.0698, Acc=1.00, Margin=2.627]
DPO Epoche 1/3:   0%|          | 17/7795 [00:06<53:52,  2.41it/s, Loss=0.0698, Acc=1.00, Margin=2.627]
DPO Epoche 1/3:   0%|          | 17/7795 [00:07<53:52,  2.41it/s, Loss=0.4310, Acc=1.00, Margin=0.618]
DPO Epoche 1/3:   0%|          | 18/7795 [00:07<53:52,  2.41it/s, Loss=0.4310, Acc=1.00, Margin=0.618]
DPO Epoche 1/3:   0%|          | 18/7795 [00:07<53:52,  2.41it/s, Loss=1.9357, Acc=0.00, Margin=-1.780]
DPO Epoche 1/3:   0%|          | 19/7795 [00:07<53:55,  2.40it/s, Loss=1.9357, Acc=0.00, Margin=-1.780]
DPO Epoche 1/3:   0%|          | 19/7795 [00:08<53:55,  2.40it/s, Loss=2.6623, Acc=0.00, Margin=-2.590]
DPO Epoche 1/3:   0%|          | 20/7795 [00:08<53:53,  2.40it/s, Loss=2.6623, Acc=0.00, Margin=-2.590]
DPO Epoche 1/3:   0%|          | 20/7795 [00:08<53:53,  2.40it/s, Loss=0.5723, Acc=1.00, Margin=0.258] 
DPO Epoche 1/3:   0%|          | 21/7795 [00:08<53:55,  2.40it/s, Loss=0.5723, Acc=1.00, Margin=0.258]
DPO Epoche 1/3:   0%|          | 21/7795 [00:09<53:55,  2.40it/s, Loss=4.1458, Acc=0.00, Margin=-4.130]
DPO Epoche 1/3:   0%|          | 22/7795 [00:09<54:02,  2.40it/s, Loss=4.1458, Acc=0.00, Margin=-4.130]
DPO Epoche 1/3:   0%|          | 22/7795 [00:09<54:02,  2.40it/s, Loss=0.6536, Acc=1.00, Margin=0.081] 
DPO Epoche 1/3:   0%|          | 23/7795 [00:09<53:58,  2.40it/s, Loss=0.6536, Acc=1.00, Margin=0.081]
DPO Epoche 1/3:   0%|          | 23/7795 [00:09<53:58,  2.40it/s, Loss=0.0102, Acc=1.00, Margin=4.579]
DPO Epoche 1/3:   0%|          | 24/7795 [00:09<54:01,  2.40it/s, Loss=0.0102, Acc=1.00, Margin=4.579]
DPO Epoche 1/3:   0%|          | 24/7795 [00:10<54:01,  2.40it/s, Loss=0.3075, Acc=1.00, Margin=1.021]
DPO Epoche 1/3:   0%|          | 25/7795 [00:10<54:02,  2.40it/s, Loss=0.3075, Acc=1.00, Margin=1.021]
DPO Epoche 1/3:   0%|          | 25/7795 [00:10<54:02,  2.40it/s, Loss=0.5862, Acc=1.00, Margin=0.227]
DPO Epoche 1/3:   0%|          | 26/7795 [00:10<54:01,  2.40it/s, Loss=0.5862, Acc=1.00, Margin=0.227]
DPO Epoche 1/3:   0%|          | 26/7795 [00:11<54:01,  2.40it/s, Loss=0.5939, Acc=1.00, Margin=0.209]
DPO Epoche 1/3:   0%|          | 27/7795 [00:11<53:11,  2.43it/s, Loss=0.5939, Acc=1.00, Margin=0.209]
DPO Epoche 1/3:   0%|          | 27/7795 [00:11<53:11,  2.43it/s, Loss=0.6269, Acc=1.00, Margin=0.137]
DPO Epoche 1/3:   0%|          | 28/7795 [00:11<53:18,  2.43it/s, Loss=0.6269, Acc=1.00, Margin=0.137]
DPO Epoche 1/3:   0%|          | 28/7795 [00:11<53:18,  2.43it/s, Loss=5.0775, Acc=0.00, Margin=-5.071]
DPO Epoche 1/3:   0%|          | 29/7795 [00:11<53:28,  2.42it/s, Loss=5.0775, Acc=0.00, Margin=-5.071]
DPO Epoche 1/3:   0%|          | 29/7795 [00:12<53:28,  2.42it/s, Loss=4.6775, Acc=0.00, Margin=-4.668]
DPO Epoche 1/3:   0%|          | 30/7795 [00:12<53:40,  2.41it/s, Loss=4.6775, Acc=0.00, Margin=-4.668]
DPO Epoche 1/3:   0%|          | 30/7795 [00:12<53:40,  2.41it/s, Loss=0.0938, Acc=1.00, Margin=2.320] 
DPO Epoche 1/3:   0%|          | 31/7795 [00:12<53:44,  2.41it/s, Loss=0.0938, Acc=1.00, Margin=2.320]
DPO Epoche 1/3:   0%|          | 31/7795 [00:13<53:44,  2.41it/s, Loss=1.7556, Acc=0.00, Margin=-1.566]
DPO Epoche 1/3:   0%|          | 32/7795 [00:13<53:55,  2.40it/s, Loss=1.7556, Acc=0.00, Margin=-1.566]
DPO Epoche 1/3:   0%|          | 32/7795 [00:13<53:55,  2.40it/s, Loss=0.7630, Acc=0.00, Margin=-0.135]
DPO Epoche 1/3:   0%|          | 33/7795 [00:13<52:56,  2.44it/s, Loss=0.7630, Acc=0.00, Margin=-0.135]
DPO Epoche 1/3:   0%|          | 33/7795 [00:13<52:56,  2.44it/s, Loss=0.1369, Acc=1.00, Margin=1.919] 
DPO Epoche 1/3:   0%|          | 34/7795 [00:13<52:32,  2.46it/s, Loss=0.1369, Acc=1.00, Margin=1.919]
DPO Epoche 1/3:   0%|          | 34/7795 [00:14<52:32,  2.46it/s, Loss=0.5610, Acc=1.00, Margin=0.285]
DPO Epoche 1/3:   0%|          | 35/7795 [00:14<52:11,  2.48it/s, Loss=0.5610, Acc=1.00, Margin=0.285]
DPO Epoche 1/3:   0%|          | 35/7795 [00:14<52:11,  2.48it/s, Loss=2.8230, Acc=0.00, Margin=-2.762]
DPO Epoche 1/3:   0%|          | 36/7795 [00:14<52:01,  2.49it/s, Loss=2.8230, Acc=0.00, Margin=-2.762]
DPO Epoche 1/3:   0%|          | 36/7795 [00:15<52:01,  2.49it/s, Loss=1.3480, Acc=0.00, Margin=-1.047]
DPO Epoche 1/3:   0%|          | 37/7795 [00:15<51:50,  2.49it/s, Loss=1.3480, Acc=0.00, Margin=-1.047]
DPO Epoche 1/3:   0%|          | 37/7795 [00:15<51:50,  2.49it/s, Loss=0.7657, Acc=0.00, Margin=-0.140]
DPO Epoche 1/3:   0%|          | 38/7795 [00:15<51:40,  2.50it/s, Loss=0.7657, Acc=0.00, Margin=-0.140]
DPO Epoche 1/3:   0%|          | 38/7795 [00:15<51:40,  2.50it/s, Loss=1.8817, Acc=0.00, Margin=-1.716]
DPO Epoche 1/3:   1%|          | 39/7795 [00:15<51:34,  2.51it/s, Loss=1.8817, Acc=0.00, Margin=-1.716]
DPO Epoche 1/3:   1%|          | 39/7795 [00:16<51:34,  2.51it/s, Loss=0.7290, Acc=0.00, Margin=-0.070]
DPO Epoche 1/3:   1%|          | 40/7795 [00:16<51:31,  2.51it/s, Loss=0.7290, Acc=0.00, Margin=-0.070]
DPO Epoche 1/3:   1%|          | 40/7795 [00:16<51:31,  2.51it/s, Loss=0.0050, Acc=1.00, Margin=5.297] 
DPO Epoche 1/3:   1%|          | 41/7795 [00:16<51:27,  2.51it/s, Loss=0.0050, Acc=1.00, Margin=5.297]
DPO Epoche 1/3:   1%|          | 41/7795 [00:17<51:27,  2.51it/s, Loss=1.2774, Acc=0.00, Margin=-0.951]
DPO Epoche 1/3:   1%|          | 42/7795 [00:17<51:24,  2.51it/s, Loss=1.2774, Acc=0.00, Margin=-0.951]
DPO Epoche 1/3:   1%|          | 42/7795 [00:17<51:24,  2.51it/s, Loss=0.9274, Acc=0.00, Margin=-0.424]
DPO Epoche 1/3:   1%|          | 43/7795 [00:17<51:27,  2.51it/s, Loss=0.9274, Acc=0.00, Margin=-0.424]
DPO Epoche 1/3:   1%|          | 43/7795 [00:17<51:27,  2.51it/s, Loss=0.9393, Acc=0.00, Margin=-0.444]
DPO Epoche 1/3:   1%|          | 44/7795 [00:17<51:52,  2.49it/s, Loss=0.9393, Acc=0.00, Margin=-0.444]
DPO Epoche 1/3:   1%|          | 44/7795 [00:18<51:52,  2.49it/s, Loss=0.9280, Acc=0.00, Margin=-0.425]
DPO Epoche 1/3:   1%|          | 45/7795 [00:18<51:35,  2.50it/s, Loss=0.9280, Acc=0.00, Margin=-0.425]
DPO Epoche 1/3:   1%|          | 45/7795 [00:18<51:35,  2.50it/s, Loss=0.3713, Acc=1.00, Margin=0.799] 
DPO Epoche 1/3:   1%|          | 46/7795 [00:18<52:13,  2.47it/s, Loss=0.3713, Acc=1.00, Margin=0.799]
DPO Epoche 1/3:   1%|          | 46/7795 [00:19<52:13,  2.47it/s, Loss=0.0366, Acc=1.00, Margin=3.290]
DPO Epoche 1/3:   1%|          | 47/7795 [00:19<52:40,  2.45it/s, Loss=0.0366, Acc=1.00, Margin=3.290]
DPO Epoche 1/3:   1%|          | 47/7795 [00:19<52:40,  2.45it/s, Loss=0.8375, Acc=0.00, Margin=-0.270]
DPO Epoche 1/3:   1%|          | 48/7795 [00:19<53:19,  2.42it/s, Loss=0.8375, Acc=0.00, Margin=-0.270]
DPO Epoche 1/3:   1%|          | 48/7795 [00:20<53:19,  2.42it/s, Loss=0.9492, Acc=0.00, Margin=-0.460]
DPO Epoche 1/3:   1%|          | 49/7795 [00:20<53:13,  2.43it/s, Loss=0.9492, Acc=0.00, Margin=-0.460]
DPO Epoche 1/3:   1%|          | 49/7795 [00:20<53:13,  2.43it/s, Loss=0.2914, Acc=1.00, Margin=1.084] 
DPO Epoche 1/3:   1%|          | 50/7795 [00:20<53:30,  2.41it/s, Loss=0.2914, Acc=1.00, Margin=1.084]
DPO Epoche 1/3:   1%|          | 50/7795 [00:20<53:30,  2.41it/s, Loss=3.1765, Acc=0.00, Margin=-3.134]
DPO Epoche 1/3:   1%|          | 51/7795 [00:20<53:41,  2.40it/s, Loss=3.1765, Acc=0.00, Margin=-3.134]
DPO Epoche 1/3:   1%|          | 51/7795 [00:21<53:41,  2.40it/s, Loss=0.7372, Acc=0.00, Margin=-0.086]
DPO Epoche 1/3:   1%|          | 52/7795 [00:21<53:43,  2.40it/s, Loss=0.7372, Acc=0.00, Margin=-0.086]
DPO Epoche 1/3:   1%|          | 52/7795 [00:21<53:43,  2.40it/s, Loss=1.0479, Acc=0.00, Margin=-0.616]
DPO Epoche 1/3:   1%|          | 53/7795 [00:21<53:51,  2.40it/s, Loss=1.0479, Acc=0.00, Margin=-0.616]
DPO Epoche 1/3:   1%|          | 53/7795 [00:22<53:51,  2.40it/s, Loss=0.0051, Acc=1.00, Margin=5.273] 
DPO Epoche 1/3:   1%|          | 54/7795 [00:22<52:58,  2.44it/s, Loss=0.0051, Acc=1.00, Margin=5.273]
DPO Epoche 1/3:   1%|          | 54/7795 [00:22<52:58,  2.44it/s, Loss=1.8985, Acc=0.00, Margin=-1.736]
DPO Epoche 1/3:   1%|          | 55/7795 [00:22<53:05,  2.43it/s, Loss=1.8985, Acc=0.00, Margin=-1.736]
DPO Epoche 1/3:   1%|          | 55/7795 [00:22<53:05,  2.43it/s, Loss=4.4849, Acc=0.00, Margin=-4.474]
DPO Epoche 1/3:   1%|          | 56/7795 [00:22<53:27,  2.41it/s, Loss=4.4849, Acc=0.00, Margin=-4.474]
DPO Epoche 1/3:   1%|          | 56/7795 [00:23<53:27,  2.41it/s, Loss=0.1404, Acc=1.00, Margin=1.893] 
DPO Epoche 1/3:   1%|          | 57/7795 [00:23<53:33,  2.41it/s, Loss=0.1404, Acc=1.00, Margin=1.893]
DPO Epoche 1/3:   1%|          | 57/7795 [00:23<53:33,  2.41it/s, Loss=0.0023, Acc=1.00, Margin=6.054]
DPO Epoche 1/3:   1%|          | 58/7795 [00:23<53:39,  2.40it/s, Loss=0.0023, Acc=1.00, Margin=6.054]
DPO Epoche 1/3:   1%|          | 58/7795 [00:24<53:39,  2.40it/s, Loss=2.0955, Acc=0.00, Margin=-1.964]
DPO Epoche 1/3:   1%|          | 59/7795 [00:24<53:41,  2.40it/s, Loss=2.0955, Acc=0.00, Margin=-1.964]
DPO Epoche 1/3:   1%|          | 59/7795 [00:24<53:41,  2.40it/s, Loss=1.3844, Acc=0.00, Margin=-1.096]
DPO Epoche 1/3:   1%|          | 60/7795 [00:24<52:06,  2.47it/s, Loss=1.3844, Acc=0.00, Margin=-1.096]
DPO Epoche 1/3:   1%|          | 60/7795 [00:24<52:06,  2.47it/s, Loss=0.5871, Acc=1.00, Margin=0.225] 
DPO Epoche 1/3:   1%|          | 61/7795 [00:24<51:44,  2.49it/s, Loss=0.5871, Acc=1.00, Margin=0.225]
